Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée,Nature,Malveillant,algorithme,random_forest_confidence,gradient_boosting_confidence
2024,21847,34,34299,Sérignan,8/15/24 16:58,39777,0,39777,0,0,0,,,,,Mesurées,1,Oui,0,4,0,,Malveillance,1,0.342465753,0.3102938759964136,0.4557154725024081
2023,21455,83,83069,Hyères,3/15/23 10:49,500,500,0,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Involontaire (particulier),0,0.052631579,0.23022952758020296,0.2025415492891806
2023,21901,83,83012,Barjols,12/27/23 17:32,4,0,4,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Involontaire (particulier),0,0.03030303,0.24223207223492577,0.14478935016814082
2022,15845,2B,2B009,Aléria,6/24/22 12:29,300000,,300000,,,,,,,,,,,,,,,Involontaire (travaux),0,0.430379747,0.3665362527153716,0.8219369220065635
2024,20544,11,11401,Tuchan,2/3/24 12:27,200,0,200,0,0,0,,,,,Mesurées,1,Non,,,,,Involontaire (travaux),0,0.210526316,0.32131152059232265,0.28884692
2023,17335,40,40319,Trensacq,9/6/23 19:46,2100,2100,,0,0,0,,,,,Estimées,,Non,0,0,0,,Accidentelle,0,0.047619048,0.22319737764930195,0.16356537288653114
2023,20039,33,33376,Saint-Aubin-de-Médoc,9/3/23 20:22,31,1,,30,0,0,,,,,Estimées,,Non,0,0,0,,Accidentelle,0,0.122807018,0.23780607337661075,0.14979845532775427
2023,11984,4,4240,Villars-Colmars,11/25/23 15:39,42300,7800,0,34500,0,0,,,,,Mesurées,,Non,,,,,Involontaire (travaux),0,0.292682927,0.2986145089629305,0.17580325444436407
2024,22120,69,69255,Vaugneray,8/24/24 14:01,76700,23400,,0,53300,0,,,,,Mesurées,,Oui,0,1,0,,Involontaire (particulier),0,0.25,0.25467973722243253,0.2371186724015965
2022,4787,60,60432,Mortefontaine,8/11/22 13:52,600,600,,0,,,0,0,0,0,Mesurées,,,,,,,Involontaire (travaux),0,0.252873563,0.2907194336580765,0.24432826050371725
2024,20208,13,13073,Peypin,6/21/24 15:35,5,5,0,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.084745763,0.30261607,0.20061281615052934
2024,21809,48,48096,Meyrueis,8/15/24 10:05,5,0,5,0,0,0,,,,,Estimées,1,Non,,,,Données partielles ou non valides,Naturelle,0,0.126315789,0.30509270733659033,0.092387441
2022,18577,6,6042,Clans,8/26/22 18:19,400,100,300,,,,,,,,,1,,,,,,Naturelle,0,0.263157895,0.32954581559640883,0.27884340412605285
2023,5707,11,11257,Monze,7/16/23 4:51,936,0,936,0,0,0,,,,,Mesurées,,Non,,,,,Malveillance,1,0.638888889,0.32275563034111265,0.29968636766709916
2023,19907,33,33012,Arsac,6/18/23 10:30,20,20,,0,0,0,,,,,Estimées,,Non,0,0,0,,Naturelle,0,0.06122449,0.23096324265997376,0.14979845532775427
2023,1576,34,34144,Lunas,4/4/23 22:27,3751,3751,0,0,0,0,,,,,Mesurées,4,Non,,,,,Malveillance,1,0.441176471,0.3919817325116856,0.562219119
2024,21648,34,34010,Aniane,8/7/24 0:42,946,946,0,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.1875,0.34008816244199963,0.4794365443048461
2022,6574,56,56248,Surzur,7/23/22 21:30,2,2,,0,,,0,0,0,0,Estimées,,,,,,,Involontaire (travaux),0,0.179104478,0.28021211820608893,0.16269361605850816
2022,18184,2A,2A108,Évisa,8/8/22 16:06,50,50,,,,,,,,,,4,,,,,,Naturelle,0,0.03030303,0.31486800809694254,0.19659109918512382
2022,13851,4,4162,Revest-des-Brousses,3/12/22 12:28,11800,1100,8000,,,,,,,2700,,2,,,,,,Involontaire (particulier),0,0.329896907,0.3128272483161942,0.32755533225992706
2022,18865,13,13095,Saint-Marc-Jaumegarde,7/5/22 15:32,1700,1700,,,,,,,,,,1,,,,,,Involontaire (particulier),0,0.054054054,0.3171021270074186,0.2455564482412517
2022,10632,24,24481,Saint-Paul-la-Roche,8/3/22 16:29,500,500,,0,,,0,,,,Estimées,,Non,,,,,Involontaire (travaux),0,0.363636364,0.3020823603333605,0.2167109858297782
2023,10012,2B,2B275,Sermano,10/3/23 13:46,500,0,500,0,0,0,,,,,Estimées,1,Non,,,,,Malveillance,1,0.869565217,0.3989359867809994,0.778120879
2022,13768,2B,2B281,Sisco,2/12/22 15:47,300,,,,,,,,,,,,,,,,,Malveillance,1,0.717948718,0.3763901941872335,0.7953169691235784
2023,14096,66,66009,Arles-sur-Tech,3/22/23 17:11,50,50,0,0,0,0,,,,,Estimées,,Non,,,,,Accidentelle,0,0.075471698,0.3085631453437834,0.2944461373958648
2022,11394,33,33236,Lège-Cap-Ferret,7/18/22 6:28,500,500,,0,,,0,,,0,Estimées,,Non,,,,,Accidentelle,0,0.033333333,0.27834976553892166,0.22525580548593513
2023,20888,30,30129,Générargues,7/25/23 18:40,137,137,0,0,0,0,,,,,Mesurées,3,Non,,,,,Accidentelle,0,0.709090909,0.30882324045218873,0.28884692
2023,14882,27,27118,Brosville,7/3/23 11:34,50400,400,,0,50000,0,,,,,Estimées,,Non,,,,Données partielles ou non valides,Accidentelle,0,0.264,0.31467303835225746,0.2167109858297782
2022,18900,13,13007,Auriol,7/12/22 14:11,300,300,,,,,,,,,,1,,,,,,Involontaire (travaux),0,0.089285714,0.3088441317748633,0.2455564482412517
2023,15506,38,38085,Charvieu-Chavagneux,7/14/23 23:51,30,30,,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.053571429,0.29423996684840525,0.15570742350178446
2022,13824,2A,2A254,Quenza,2/4/22 17:38,1,,,,,,,,,1,,4,,,,,,Involontaire (travaux),0,0.012048193,0.31039948235091147,0.16743286321944453
2023,3694,11,11266,Port-la-Nouvelle,2/5/23 11:10,500,0,500,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0,0.055555556,0.31846455281376884,0.2775099672259729
2023,13713,34,34059,La Caunette,7/9/23 12:15,4384,4384,0,0,0,0,,,,,Mesurées,4,Non,,,,,Involontaire (travaux),0,0.537037037,0.34564228046573675,0.4794365443048461
2022,16907,2A,2A247,Porto-Vecchio,6/25/22 21:43,150,,150,,,,,,,,,,,,,,,Accidentelle,0,0.352941176,0.3188031497268567,0.27884340412605285
2022,18791,13,13098,Saint-Mitre-les-Remparts,7/8/22 2:26,248600,248600,,,,,,,,,,1,,,,,,Malveillance,1,0.1,0.3698854021731629,0.52166363
2023,17297,40,40165,Luglon,8/10/23 5:48,413930,413930,,0,0,0,,,,,Estimées,,Non,,,,,Naturelle,0,0.246753247,0.2846167470484795,0.17702536103361427
2023,7160,2B,2B143,Linguizzetta,8/12/23 10:17,20,0,20,0,0,0,,,,,Estimées,1,Non,,,,,Involontaire (particulier),0,0.361111111,0.41380772258607157,0.2857222393059074
2022,19292,2B,2B039,Bisinchi,9/16/22 22:31,100,,,,,,,,,,,,,,,,,Malveillance,1,0.875,0.42020853297571115,0.7385660838650738
2023,7784,2B,2B002,Aghione,8/24/23 5:57,2000,2000,0,0,0,0,,,,,Estimées,2,Non,,,,,Malveillance,1,0.375,0.3659834600499947,0.7870020325795886
2022,19707,13,13039,Fos-sur-Mer,9/21/22 14:10,50,50,,,,,,,,,,1,,,,,,Malveillance,1,0.219512195,0.31920211382977437,0.24307159232254003
2022,18875,13,13039,Fos-sur-Mer,7/6/22 15:58,500,500,,,,,,,,,,1,,,,,,Involontaire (particulier),0,0.547169811,0.3171021270074186,0.2455564482412517
2023,13127,74,74311,Viuz-en-Sallaz,10/18/23 10:20,6,6,,0,0,0,,,,,Estimées,,Non,,,,,Naturelle,0,0.375,0.29590863769832604,0.15570742350178446
2022,18799,13,13071,Les Pennes-Mirabeau,7/31/22 17:38,10000,10000,,,,,,,,,,1,,,,,,Involontaire (particulier),0,0.121495327,0.31446875099376087,0.2455564482412517
2022,14554,83,83140,Tourves,4/11/22 14:43,1000,1000,,,,,,,,,,5,,,,,,Involontaire (particulier),0,0.035294118,0.31411037287105226,0.23637587615036973
2022,15675,48,48076,,6/20/22 15:01,15000,,,,,,,,,15000,,1,,,,,,Involontaire (travaux),0,0.170212766,0.3070427253614217,0.11441327153718459
2023,7872,11,11328,Routier,8/18/23 8:54,40,40,0,0,0,0,,,,,Mesurées,,Non,,,,,Malveillance,1,0.145454545,0.3064926101989441,0.23353099870954216
2022,18818,13,13008,Aurons,6/24/22 3:59,30,30,,,,,,,,,,1,,,,,,Naturelle,0,0.127272727,0.3091772297835401,0.16743286321944453
2024,19487,48,48148,Saint-Étienne-Vallée-Française,4/23/24 14:26,1104,1100,0,0,0,4,,,,,Mesurées,3,Non,,,,,Accidentelle,0,0.196428571,0.3129435170966985,0.17837254703308542
2023,1081,7,7239,Saint-Genest-Lachamp,3/22/23 12:26,200900,12200,97100,78700,0,12900,,,,,Mesurées,1,Non,,,,,Involontaire (particulier),0,0.357142857,0.31830732468450784,0.2775099672259729
2024,20711,11,11262,Narbonne,4/20/24 17:30,94800,0,94800,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (travaux),0,0.517647059,0.319461443,0.28884692
2022,10928,40,40243,Rion-des-Landes,8/29/22 15:37,150,150,,0,,,0,,,0,Estimées,,Non,,,,,Naturelle,0,0.052631579,0.26705808263539443,0.17702536103361427
2022,21005,6,6074,Lantosque,12/11/22 13:42,2000,,,,,,,,,,,,,,,,,Malveillance,1,0.264367816,0.3175391188754036,0.2455564482412517
2023,20074,33,33328,Pomerol,9/20/23 7:42,50,50,,0,0,0,,,,,Estimées,,Non,0,0,0,,Malveillance,1,0.173913043,0.239684299,0.17096742167622614
2023,1175,2B,2B230,Piève,3/25/23 17:35,5000,0,5000,0,0,0,,,,,Estimées,1,Non,,,,,Involontaire (travaux),0,0.861111111,0.38953019695169916,0.7683278364582558
2023,217,5,5145,Saint-Jean-Saint-Nicolas,2/12/23 13:24,1300,1254,0,0,0,46,,,,,Estimées,4,Non,,,,,Malveillance,1,0.067961165,0.31175154891830814,0.217407522
2024,20688,11,11259,Moussoulens,4/16/24 14:09,400,0,400,0,0,0,,,,,Mesurées,1,Non,,,,,Involontaire (particulier),0,0.186440678,0.32131152059232265,0.28884692
2022,17507,4,4208,Simiane-la-Rotonde,7/30/22 15:52,42700,36900,,,,,,,,5800,,3,,,,,,Involontaire (travaux),0,0.317073171,0.29564912523258186,0.14597731413109927
2022,13613,6,6033,Carros,1/23/22 13:52,1000,,1000,,,,,,,,,1,,,,,,Malveillance,1,0.453125,0.3309343573723462,0.27884340412605285
2023,17340,40,40259,Saint-Gein,9/11/23 16:00,4000,4000,,0,0,0,,,,,Mesurées,,Non,0,0,0,,Accidentelle,0,0.112903226,0.22637123779224022,0.19462443436201066
2023,3702,11,11351,Saint-Laurent-de-la-Cabrerisse,2/17/23 16:25,12000,0,12000,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (travaux),0,0.12,0.32275563034111265,0.2775099672259729
2023,7313,34,34121,Joncels,8/1/23 0:25,12415,0,12415,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.166666667,0.35980212674031337,0.4924752707354903
2024,20725,11,11369,Sallèles-d'Aude,4/23/24 0:12,100,0,100,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0,0.06557377,0.3121222188699019,0.24446009001533056
2022,20051,2B,2B055,Campitello,10/28/22 15:20,177900,7900,170000,,,,,,,,,1,,,,,,Malveillance,1,0.514285714,0.3790897480251789,0.808170545
2022,14821,2A,2A324,Tavera,3/9/22 17:49,15,,15,,,,,,,,,1,,,,,,Involontaire (travaux),0,0.253731343,0.32443051126411027,0.20602792873650352
2024,20471,5,5073,Lazer,7/21/24 9:45,80,80,0,0,0,0,,,,,Estimées,,Non,,,,,Naturelle,0,0.033707865,0.29936306597438256,0.18646133494340927
2022,7203,61,61232,Lonlay-l'Abbaye,8/4/22 13:16,4000,0,,4000,,,4000,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.989795918,0.5447956667600864,0.9349427363494681
2023,19819,33,33320,Petit-Palais-et-Cornemps,3/6/23 15:19,10000,5000,,5000,0,0,,,,,Estimées,,Non,0,0,0,,Involontaire (particulier),0,0.293333333,0.2419209582685609,0.20906022213983833
2023,14795,66,66104,Los Masos,12/22/23 7:40,200,200,0,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.033898305,0.3090915140431018,0.37286721156725416
2022,10859,40,40169,Maillas,6/5/22 18:19,1200,200,,0,,,0,,,1000,Estimées,,Non,,,,,Naturelle,0,0.054794521,0.2729789740049761,0.17702536103361427
2022,7174,61,61167,La Ferté-en-Ouche,8/9/22 15:02,8000,0,,8000,,,8000,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,1,0.5525633868259108,0.9349427363494681
2024,28835,7,7210,Saint-Andéol-de-Vals,8/21/24 15:56,5000,5000,0,0,0,0,,,,,Estimées,3,Non,,,,,Malveillance,1,0.100917431,0.3037666209885278,0.24518354128000344
2023,7779,2B,2B355,Volpajola,8/22/23 19:55,60,0,60,0,0,0,,,,,Estimées,,Non,,,,,Malveillance,1,0.379310345,0.3573684996636974,0.7286587219539035
2024,21231,13,13001,Aix-en-Provence,7/8/24 20:10,10,10,0,0,0,0,,,,,Mesurées,1,Non,,,,,Involontaire (particulier),0,0.36,0.30831041583388014,0.20061281615052934
2023,7463,2B,2B346,Vescovato,8/15/23 14:45,2000,0,2000,0,0,0,,,,,Estimées,,Non,,,,,Malveillance,1,0.75862069,0.398269004,0.7870020325795886
2022,7291,61,61500,La Ventrouze,7/14/22 20:14,200,0,,200,,,200,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.966666667,0.5373542355001232,0.9349427363494681
2022,10488,47,47036,Bourlens,9/11/22 19:37,500,500,,0,0,0,,,,,Estimées,,Non,0,0,0,,Involontaire (particulier),0,0.02173913,0.22189528650337806,0.1814625830216783
2022,20576,6,6132,Saorge,8/7/22 13:48,15000,,,,,,,,,,,,,,,,,Naturelle,0,0.152941176,0.3175391188754036,0.2455564482412517
2023,5740,2B,2B143,Linguizzetta,7/22/23 14:28,150,0,150,0,0,0,,,,,Estimées,1,Non,,,,,Malveillance,1,0.5,0.4345712240514802,0.7870020325795886
2023,8568,13,13047,Istres,8/19/23 17:09,30,30,0,0,0,0,,,,,Mesurées,1,Non,,,,,Involontaire (particulier),0,0.181818182,0.31059138628051774,0.20911477439876633
2022,16032,30,30319,Serviers-et-Labaume,6/13/22 15:34,772400,772400,,,,,,,,,,4,,,,,,Involontaire (travaux),0,0.396825397,0.3180994181377769,0.2455564482412517
2022,13724,13,13047,Istres,3/8/22 18:05,2000,2000,,,,,,,,,,1,,,,,,Malveillance,1,0.068181818,0.3203898543665008,0.2455564482412517
2022,18874,13,13112,Velaux,7/6/22 19:57,1000,1000,,,,,,,,,,1,,,,,,Accidentelle,0,0.18,0.3307278610073031,0.2455564482412517
2024,23037,74,74276,Taninges,7/31/24 11:57,200,200,,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0,0.109589041,0.2945206543239152,0.23425802718726743
2023,14557,66,66008,Argelès-sur-Mer,8/17/23 13:04,1,1,0,0,0,0,,,,,Estimées,,Non,,,,,Malveillance,1,0.088235294,0.3129210098156683,0.26283539188806065
2023,11471,7,7209,Saint-Andéol-de-Fourchades,10/15/23 16:12,20000,0,20000,0,0,0,,,,,Estimées,1,Non,,,,,Accidentelle,0,0.282051282,0.32053842402449706,0.22706079406440566
2023,22163,24,24087,Castels et Bézenac,10/13/23 14:19,2000,2000,,0,0,0,,,,,Estimées,,Non,0,0,0,,Accidentelle,0,0.06,0.2349762465976981,0.2009703967090926
2023,14674,66,66080,Fontpédrouse,10/21/23 11:26,2,2,0,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.409090909,0.30613067625542323,0.26283539188806065
2024,28272,2A,2A247,Porto-Vecchio,8/16/24 18:31,1756,1756,0,0,0,0,,,,,Mesurées,,Non,,,,,Naturelle,0,0.23880597,0.31095262373756827,0.30992375228871355
2022,18857,13,13067,Orgon,7/4/22 16:20,300,300,,,,,,,,,,1,,,,,,Involontaire (travaux),0,0.12,0.31270608740345823,0.2455564482412517
2022,16859,48,48185,Les Salelles,7/16/22 11:32,100,,100,,,,,,,,,1,,,,,,Involontaire (travaux),0,0.266666667,0.31708320351314545,0.10138049591004762
2023,14554,66,66142,Planès,8/16/23 11:28,1,1,0,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.052631579,0.301540512,0.26283539188806065
2023,6435,30,30198,Les Plantiers,4/11/23 12:18,628,628,0,0,0,0,,,,,Mesurées,3,Non,,,,,Involontaire (travaux),0,0.211764706,0.31328529883272715,0.29968636766709916
2023,15849,17,17317,Saint-Ciers-du-Taillon,8/9/23 15:57,500,500,,0,0,0,,,,,Mesurées,,Non,0,0,0,,Involontaire (travaux),0,0.434782609,0.23885815325711537,0.2371186724015965
2022,12199,87,87046,Cognac-la-Forêt,3/7/22 17:23,5,5,,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0,0.272727273,0.2980704878124349,0.16671087070382973
2022,6241,56,56240,Sarzeau,7/9/22 17:15,5,0,,5,,,5,0,0,0,Mesurées,,,,,,,Involontaire (particulier),0,0.019230769,0.29357911819355026,0.17408896193287138
2023,1130,34,34319,Vailhan,3/6/23 14:06,84,0,84,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.428571429,0.35052752618279115,0.4466146868269922
2023,7824,74,74004,Allèves,8/21/23 9:40,2,2,,0,0,0,,,,,Mesurées,,Non,,,,,Accidentelle,0,0.104166667,0.300644982,0.17408896193287138
2022,15646,48,48145,Saint-Denis-en-Margeride,3/1/22 11:35,60000,,60000,,,,,,,,,1,,,,,,Involontaire (travaux),0,0.131147541,0.32100541262051935,0.11826197881634563
2022,13646,7,7074,Creysseilles,1/21/22 16:18,6000,6000,,,,,,,,,,5,,,,,,Accidentelle,0,0.115384615,0.3223796428783461,0.2455564482412517
2022,7302,61,61293,Mortagne-au-Perche,7/11/22 17:10,50,0,,50,,,50,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.850574713,0.5294433737750223,0.9181150348259708
2024,26742,33,33376,Saint-Aubin-de-Médoc,7/14/24 0:58,40,20,,20,0,0,,,,,Estimées,,Non,0,0,0,,Malveillance,1,0.101123596,0.24779767473357583,0.18568866068223253
2022,7153,61,61490,Tournai-sur-Dive,8/12/22 15:13,110000,0,,110000,,,110000,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.977099237,0.5338248684341479,0.9349427363494681
2022,8266,38,38114,Clonas-sur-Varèze,6/10/22 18:52,200,0,,200,,,200,0,0,0,Estimées,,,,,,,Involontaire (particulier),0,0.196078431,0.2945347048059889,0.22570255694792477
2023,21417,83,83125,Seillons-Source-d'Argens,2/21/23 15:43,1500,0,1500,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Malveillance,1,0.345454545,0.25174714266836856,0.2025415492891806
2022,19715,13,13056,Martigues,9/27/22 9:13,10,10,,,,,,,,,,1,,,,,,Malveillance,1,0.119047619,0.3080321284189852,0.2277505965374798
2022,220,15,15088,Lacapelle-Viescamp,3/24/22 17:20,200,200,,0,,,0,0,0,0,Mesurées,,,,,,,Involontaire (travaux),0,0.186440678,0.28440947,0.23139960679859778
2022,15243,7,7148,Malbosc,1/31/22 12:44,5000,5000,,,,,,,,,,4,,,,,,Malveillance,1,0.186666667,0.3199820704229788,0.2455564482412517
2022,18396,34,34116,Grabels,7/28/22 13:50,28776,28776,,,,,,,,,,1,,,,,,Accidentelle,0,0.480769231,0.3439139511873443,0.424637845
2022,1503,46,46233,Quissac,7/14/22 15:10,15000,0,,15000,,,15000,0,0,0,Estimées,,,,,,,Involontaire (travaux),0,0.261904762,0.2994985256799721,0.19589930753968451
2024,22776,13,13041,Gardanne,8/25/24 18:41,100,100,0,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.581395349,0.3041379884846348,0.2741909694359829
2022,14294,13,13044,Grans,4/1/22 20:38,400,400,,,,,,,,,,1,,,,,,Involontaire (particulier),0,0.023809524,0.31470124595014987,0.2455564482412517
2023,2645,41,41260,Thoury,5/25/23 14:02,1000,1000,,0,0,0,,,,,Estimées,,Non,,,,,Accidentelle,0,0.157894737,0.3017813858939195,0.19589930753968451
2023,5163,34,34024,Balaruc-le-Vieux,7/6/23 16:53,1184,0,1184,0,0,0,,,,,Mesurées,1,Non,,,,,Involontaire (travaux),0,0.581395349,0.3688248441269179,0.47411192153800674
2023,4873,13,13063,Miramas,7/2/23 7:20,5,5,0,0,0,0,,,,,Estimées,1,Non,,,,,Malveillance,1,0.047619048,0.33779968227627805,0.27839828559837976
2023,7883,11,11325,Rouffiac-d'Aude,8/21/23 17:39,4000,0,4000,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0,0.340909091,0.3237960505781221,0.29968636766709916
2022,19725,13,13030,Cuges-les-Pins,10/1/22 14:16,50,50,,,,,,,,,,1,,,,,,Involontaire (travaux),0,0.289473684,0.31134744254949753,0.19659109918512382
2022,21886,34,34268,Saint-Jean-de-la-Blaquière,2/25/22 15:45,41039,0,41039,,,,,,,,,1,,,,,,Malveillance,1,0.519230769,0.4204853463017647,0.7141060807442907
2024,21828,6,6112,Le Rouret,8/15/24 6:57,20,0,20,0,0,0,,,,,Estimées,,Non,,,,,Naturelle,0,0.130952381,0.2932327883958862,0.16375286717916002
2024,21271,13,13099,Saint-Paul-lès-Durance,7/23/24 11:50,280,280,0,0,0,0,,,,,Mesurées,1,Non,,,,,Naturelle,0,0.609756098,0.3099534372171761,0.28884692
2022,7237,61,61008,Aube,7/25/22 16:33,35000,0,,35000,,,35000,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.966386555,0.5338248684341479,0.9349427363494681
2022,17385,2B,2B172,Murato,7/21/22 23:07,4000,,,,,,,,,,,,,,,,,Malveillance,1,0.948717949,0.3625086583282724,0.7953169691235784
2024,27635,2A,2A198,Ota,7/9/24 15:49,2500,0,2500,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0,0.283333333,0.321745304,0.30992375228871355
2022,19677,13,13110,Trets,2/13/22 17:21,2000,2000,,,,,,,,,,1,,,,,,Involontaire (particulier),0,0.237288136,0.3171021270074186,0.2455564482412517
2023,3723,11,11207,Loupia,2/19/23 13:56,1000,0,1000,0,0,0,,,,,Mesurées,,Non,,,,,Accidentelle,0,0.488888889,0.32275563034111265,0.2775099672259729
2022,18680,4,4039,Castellane,8/28/22 11:33,5,5,,,,,,,,,,,,,,,,Naturelle,0,0.026548673,0.29261252616897787,0.10571230820413402
2023,21846,83,83050,Draguignan,10/28/23 15:02,500,0,500,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Involontaire (particulier),0,0.05,0.2434652881165508,0.2025415492891806
2023,5129,34,34038,Le Bousquet-d'Orb,6/27/23 0:40,121,0,121,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.670886076,0.3800481655219147,0.6793230661984863
2024,27235,2A,2A310,Santa-Maria-Figaniella,5/28/24 17:20,150,0,150,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.255813953,0.30934581109699766,0.24518354128000344
2022,21694,2A,2A017,Appietto,10/22/22 11:38,200,,150,,,,,,,50,,,,,,,,Involontaire (particulier),0,0.291262136,0.3179404242067399,0.25426739314926816
2022,7906,38,38389,Saint-Georges-d'Espéranche,10/28/22 19:16,30,0,,30,,,30,0,0,0,Estimées,,,,,,,Malveillance,1,0.387096774,0.29666690595332756,0.16269361605850816
2022,16235,83,83127,Signes,7/6/22 0:10,315,315,,,,,,,,,,5,,,,,,Malveillance,1,0.254901961,0.3163137627015607,0.23637587615036973
2024,28700,7,7200,Le Roux,7/3/24 15:00,1,0,1,0,0,0,,,,,Estimées,5,Non,,,,,Involontaire (travaux),0,0.236842105,0.3070609138487286,0.18608575994077547
2023,3166,30,30137,Lamelouze,1/29/23 23:39,3470,3470,0,0,0,0,,,,,Mesurées,5,Non,,,,,Involontaire (particulier),0,0.164383562,0.3138302426529519,0.2775099672259729
2023,19828,33,33255,Lucmau,3/20/23 12:01,800,800,,0,0,0,,,,,Estimées,,Non,0,0,0,,Accidentelle,0,0.05,0.23725850117176855,0.20906022213983833
2024,28127,84,84026,Cadenet,8/26/24 18:16,310,310,0,0,0,0,,,,,Mesurées,,Non,,,,,Malveillance,1,0.62745098,0.3175315711059893,0.30992375228871355
